warning: Some design elements have no explicit time unit and/or
       : time precision. This may cause confusing timing results.
       : Affected design elements are:
       :   -- module alarm_comparator declared here: design.sv:6
       :   -- module clock_divider declared here: design.sv:80
       :   -- module clock_divider_pulse declared here: design.sv:51
       :   -- module display_mux declared here: design.sv:112
       :   -- module hours_counter declared here: design.sv:168
       :   -- module minutes_counter declared here: design.sv:193
       :   -- module seconds_counter declared here: design.sv:224
       :   -- module seg_decoder declared here: design.sv:256
       :   -- module top_digital_clock declared here: design.sv:283
VCD info: dumpfile digital_clock.vcd opened for output.
T=0 | rst=1 | H:M:S = 0:0:0 | alarm_en=0 | alarm_out=0
T=6125000 | rst=0 | H:M:S = 0:1:1 | alarm_en=1 | alarm_out=0
T=6225000 | rst=0 | H:M:S = 0:1:2 | alarm_en=1 | alarm_out=0
T=6325000 | rst=0 | H:M:S = 0:1:3 | alarm_en=1 | alarm_out=0
T=6425000 | rst=0 | H:M:S = 0:1:4 | alarm_en=1 | alarm_out=0
T=6525000 | rst=0 | H:M:S = 0:1:5 | alarm_en=1 | alarm_out=0
T=6625000 | rst=0 | H:M:S = 0:1:6 | alarm_en=1 | alarm_out=0
T=6725000 | rst=0 | H:M:S = 0:1:7 | alarm_en=1 | alarm_out=0
T=6825000 | rst=0 | H:M:S = 0:1:8 | alarm_en=1 | alarm_out=0
T=6925000 | rst=0 | H:M:S = 0:1:9 | alarm_en=1 | alarm_out=0
T=7025000 | rst=0 | H:M:S = 0:1:10 | alarm_en=1 | alarm_out=0
T=7125000 | rst=0 | H:M:S = 0:1:11 | alarm_en=1 | alarm_out=0
T=7225000 | rst=0 | H:M:S = 0:1:12 | alarm_en=1 | alarm_out=0
T=7230000 : POST-ALARM-WINDOW CHECK hour=0 min=1 sec=12 alarm_out=0
T=7230000 | rst=0 | H:M:S = 0:1:12 | alarm_en=0 | alarm_out=0
T=7325000 | rst=0 | H:M:S = 0:1:13 | alarm_en=0 | alarm_out=0
T=7425000 | rst=0 | H:M:S = 0:1:14 | alarm_en=0 | alarm_out=0
T=7430000 : ALARM DISABLED CHECK alarm_out=0 (expect 0)
T=7430000 | rst=0 | H:M:S = 0:1:14 | alarm_en=1 | alarm_out=0
T=7525000 | rst=0 | H:M:S = 0:1:15 | alarm_en=1 | alarm_out=0
T=7625000 | rst=0 | H:M:S = 0:1:16 | alarm_en=1 | alarm_out=0
